transaction_id,timestamp,lock_held,lock_requested
61de76c4-7f97-438d-a80e-428d1553c58c,2024-10-18 00:18:46.388057,True,True
773ba1be-cdb1-4b8a-a766-b0c2e84dc934,2024-10-18 00:19:46.388057,True,False
9a6da1b6-a84a-428c-8889-478fb0658b3b,2024-10-18 00:20:46.388057,True,True
cecc593a-585e-4658-adcd-2f7a11a4f044,2024-10-18 00:21:46.388057,True,True
0101c545-011b-472c-aa97-d9a720e0fd1a,2024-10-18 00:22:46.388057,True,True
6862de2e-376e-4664-9503-bfaddae7a727,2024-10-18 00:23:46.388057,True,False
faf40ddf-8685-4244-ab82-3b8e9d49e84e,2024-10-18 00:24:46.388057,True,True
84db865e-b035-4722-9aef-f7a694b95d45,2024-10-18 00:25:46.388057,True,False
3c29bc80-c6c1-43b1-b1a5-c2b9ae1f1054,2024-10-18 00:26:46.388057,False,True
2455b532-ab89-4066-8bb0-7bf663c0e828,2024-10-18 00:27:46.388057,False,False
5852f1b6-9185-470a-9bc6-d28750780f02,2024-10-18 00:28:46.388057,False,True
1a1383cb-0fa8-4007-90bf-781c22d2f04e,2024-10-18 00:29:46.388057,True,True
bc70e1da-7146-4756-8475-555e38204204,2024-10-18 00:30:46.388057,True,True
731097a2-7d4f-49dd-be2c-7675e802100a,2024-10-18 00:31:46.388057,False,False
e51f4c3f-bc1a-4e63-84e3-f70483c74ace,2024-10-18 00:32:46.388057,False,True
e93fb267-8905-4683-9183-47b042bb6f67,2024-10-18 00:33:46.388057,False,True
30209d83-95f0-413f-b0c5-c8d6e8b55de8,2024-10-18 00:34:46.388057,False,False
317d67e0-d7db-4ba9-9564-584f90734466,2024-10-18 00:35:46.388057,False,False
84172b0b-ff63-472f-a7e7-77b5e8d3e7e8,2024-10-18 00:36:46.388057,True,False
40ab9a33-7fa5-4125-bd99-46584867ff05,2024-10-18 00:37:46.388057,True,True
4d1be0a4-1481-40a9-9817-dd08ef072cdd,2024-10-18 00:38:46.388057,False,True
26ec8804-3878-432c-a8c1-28d4df8c1310,2024-10-18 00:39:46.388057,False,True
43f6a269-2143-4a64-a3ae-4ca5662ece3e,2024-10-18 00:40:46.388057,True,True
1a6adedc-12b5-4561-926e-49dd57c87c56,2024-10-18 00:41:46.388057,True,True
e84d6ba1-81fe-40f1-a4d5-996862c150da,2024-10-18 00:42:46.388057,False,False
84e7b1bd-c8a7-4566-9b96-de5c5229a9cc,2024-10-18 00:43:46.388057,True,True
0c42f35d-b57c-4b6d-b34f-c03faefd64c6,2024-10-18 00:44:46.388057,False,False
0f2a0190-e30c-44eb-a329-ed4b735e01d3,2024-10-18 00:45:46.388057,False,True
d510304f-b469-4776-b7ce-07a930f96be7,2024-10-18 00:46:46.388057,False,False
626b6a10-d969-4238-9145-86099e39c4a8,2024-10-18 00:47:46.388057,False,True
